Energy,Exact,Mix8Av,Kav,Tav,H30av,H60av,H90av,MixBasis0,KBasis0,TBasis0,H30Basis0,H60Basis0,H90Basis0
19.6666666666667,893.590734107721,1.25589971356788E-05,1.68202806707603E-05,9.0884986334525E-06,7.8865403457188E-05,2.02532951263806E-05,1.35574280787375E-05,893.677519596739,893.617553707284,893.639567349981,894.232308186125,893.721883560587,893.681858720076
20,902.820595655771,1.15353902207496E-05,1.52859402304781E-05,9.36812802170044E-06,5.46540901950129E-05,1.97353262875314E-05,1.3223751933254E-05,902.897520873368,902.845249999185,902.871054566891,903.249358307224,902.948372873508,902.907431556961
20.3333333333333,912.424784583518,1.03959210248923E-05,1.43301652638978E-05,9.81706162467492E-06,1.48498000097598E-05,1.89100723513158E-05,1.30322027000279E-05,912.489220375337,912.447255817038,912.474821978078,912.494120159401,912.546903941093,912.506177467766
20.6666666666667,922.331536780953,9.63846327526974E-06,1.36785107184377E-05,1.04271911427744E-05,1.48293787966568E-05,1.85044226026627E-05,1.28130739861163E-05,922.385875996294,922.351988610585,922.380211290344,922.261061775609,922.444396913733,922.406382927099
21,932.521031825969,9.09232188925605E-06,1.35624165592471E-05,1.10191235424919E-05,1.68258079572516E-05,1.79762064069311E-05,1.26700869867538E-05,932.567088853261,932.539909328596,932.567926507833,932.428995454819,932.61903022814,932.588521394707
21.3333333333333,942.959947094554,8.61601110623268E-06,1.36815768944025E-05,1.16689419891314E-05,1.55528899001212E-05,1.49327065158407E-05,1.25963434779821E-05,942.998207413691,942.977889469486,943.004867101176,942.875831605831,943.034931229053,943.019376644398
21.6666666666667,953.593743800968,8.09646522161713E-06,1.39784673630996E-05,1.25135821031693E-05,1.38321334847194E-05,1.08164275880151E-05,1.26798382148649E-05,953.624195197786,953.611327311245,953.636627291865,953.521916831704,953.636315121267,953.644541560643
22,964.413406736517,7.50645969323202E-06,1.43579796284251E-05,1.38541645132961E-05,1.23578936511363E-05,7.09446469896197E-06,1.28543627212811E-05,964.436126103783,964.430931231045,964.454226364052,964.352465858022,964.417708764136,964.455098451952
22.3333333333333,975.348944454957,7.04002629927872E-06,1.44701540917661E-05,1.58735621268641E-05,1.12783885699444E-05,9.05298268570909E-06,1.20845055711423E-05,975.364611854553,975.366476459305,975.387725829481,975.296424638308,975.321021922451,975.381321381517
22.6666666666667,986.405746242235,6.78435499295839E-06,1.40718492249275E-05,1.14556301107007E-05,1.06372836952088E-05,7.97987031828503E-06,9.94533921805449E-06,986.41569118529,986.423213729596,986.442517433381,986.359361890105,986.381221706867,986.428946872218
23,997.586399180696,6.47440606733615E-06,1.35927546159169E-05,1.32144192122014E-05,1.01270879501425E-05,1.73095147768304E-05,8.33938031067046E-06,997.590692330435,997.603692714666,997.621208013116,997.544280752283,997.460505148978,997.600998939332
