Theta Exact Mix4Av Mix6Av Mix8Av Mix10Av Kav Tav
151.685393258427 2.75457400788709 2.99296639913815 2.76525616860801 2.75194361216554 2.75464989452472 2.75307902937552 2.75447395640792
153.707865168539 2.11339030602327 2.33961075867814 2.11780241215295 2.11090636185725 2.11346723046559 2.11208398288744 2.11301496621441
155.730337078652 1.71300352360146 1.91506415497685 1.71086094191489 1.71086228010038 1.71307799705552 1.71207570473094 1.71247312960354
157.752808988764 1.70215029499757 1.8694138923336 1.69327738522385 1.70054836510344 1.70221902930816 1.7018055245576 1.70163114633835
159.775280898876 2.20210278429547 2.32603526677795 2.18643358071415 2.20122507347277 2.20216285565111 2.20254533633701 2.20179146699779
161.797752808989 3.28593749012612 3.36061263340713 3.26352032324534 3.2859447463369 3.28598648677301 3.28735472573519 3.28604109720989
163.820224719101 4.96278740171337 4.98512207252136 4.933792517987 4.96380432291238 4.9628235469013 4.96533295876074 4.96350175072905
165.842696629214 7.16971663986378 7.13945099558255 7.13444498004269 7.17182152371099 7.16973888250904 7.17349504887063 7.17120474792364
167.865168539326 9.77288925880316 9.69235657945538 9.73178001211091 9.77610613493886 9.7728973261653 9.77794350840957 9.77526236991542
169.887640449438 12.5784314987244 12.4521823539836 12.5320659251758 12.5827255430577 12.5784259076131 12.584734853849 12.5817347491745
171.910112359551 15.3519905276923 15.1863434950629 15.3010898350738 15.3572673278448 15.351972553171 15.3594435492078 15.3561948933884
173.932584269663 17.8446832011959 17.6472691631213 17.7900989176633 17.8507921405609 17.8446548042465 17.8531164576205 17.849684734416
175.955056179775 19.8221127085941 19.6014638156393 19.7648089002843 19.8288543909824 19.8220764265765 19.8312951496305 19.8277393042915
177.977528089888 21.0925781851471 20.8577895730912 21.0336058940686 21.0997154670248 21.0925369909907 21.1022306144176 21.0986033026241
180 21.5306133547656 21.2910804113982 21.4710786280903 21.5378852248347 21.5305704925484 21.5404259493024 21.536775353123
