Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
23.0,-0.1640431957814192,-0.17169306728950717,-0.11199700820495642,1.1411193087009144,0.04181384721412317,0.028702229335322006,0.07970870182562685,0.004760257138489146,0.09335244086416582,-0.02641616950847639,-0.01820972351934628,-0.008445481435126502,-0.0038822292430836505,0.004927360329224894,0.025551540242994324,0.0020530203687280915,0.0012811412988829557,0.00029642425275118955,0.0013826401646227695,-0.0025380775621452927,-0.002440504061675028,-0.0008581076968641879,-0.00031501773489236225,-0.0007419459083705296,0.0030229758547893116,0.0002489247342655093,7.375813334435744e-05,2.4797069524996874e-05,7.529196602299484e-05,-0.00029436591064696,0.7301994238191808,0.18806568786197625,0.0,0.0,0.0
26.0,-0.17490989885335761,-0.18948698374374517,-0.12851279319010678,1.0836571651607143,0.042861943945423135,0.03381391901867414,0.09146211718600931,0.005761417475492232,0.10692580669636297,-0.029630348029460785,-0.021160148295048132,-0.010056852570819643,-0.005019808656824715,0.00701075277703436,0.030174190103616987,0.0025548986313515113,0.001703192663729733,0.00040283231894507667,0.0018425982002113865,-0.0031760322822080743,-0.0031442767838340234,-0.0011452805179613796,-0.0004450915611294974,-0.0009761127016435369,0.003934058560269586,0.00034310299691852996,0.00010633154402585964,3.7500925166073597e-05,0.00010885677164775675,-0.00040886318938371415,0.69324538986999,0.19153388811009014,0.0,0.0,0.0
29.0,-0.18486005319035118,-0.20581199280982335,-0.14465927282230906,1.0315879994857906,0.043706332432140546,0.03908469599583056,0.10283701872083562,0.006777317260271313,0.1200007033387495,-0.03257511922242431,-0.02399701693490395,-0.011649418194496256,-0.006264777971779525,0.009493175159728404,0.03474044969976964,0.003083301793262669,0.0021821487593618283,0.0005234006208957376,0.0023661571084692655,-0.0038398788386763186,-0.00388595315873516,-0.0014701688875435968,-0.0005980427765985515,-0.001229688282915186,0.004916445642867828,0.0004500275113584714,0.00014552504651934445,5.3345097134680756e-05,0.00014929362979747564,-0.0005399530544897318,0.6587748250575871,0.19222178377971444,0.0,0.0,0.0
32.0,-0.1940825392544205,-0.22080286646223807,-0.16043158013000713,0.9838851423936514,0.04438698754066691,0.04450311842917429,0.11377098154562584,0.007798592773904562,0.132511146378039,-0.03525710067484824,-0.02671278948359377,-0.013209077612557584,-0.007605807287869171,0.012368387225853587,0.03922499836731778,0.003619740199780374,0.002733720303846651,0.0006568672953333792,0.0029520192375783686,-0.0045211355197317124,-0.00466501742975054,-0.0018131098388308256,-0.0007729778207259194,-0.0014980658220750576,0.005956104376761635,0.0005679931044397566,0.00019107365987125824,7.238145740053707e-05,0.00019657392050914836,-0.0006859412850547684,0.6264442100039387,0.1906434963448732,0.0,0.0,0.0
35.0,-0.2027200023929977,-0.2345726967942327,-0.17583523115149005,0.9397936817069048,0.044929804555298686,0.050057307681489124,0.12422184024157389,0.008819019839256542,0.14439946910375293,-0.03769330279915603,-0.029305922097528497,-0.014727572370227263,-0.009033165794113765,0.0156307489620226,0.04361344129309556,0.004187483390368304,0.003335544094628286,0.000802076289970561,0.0035992397215456827,-0.005213458123479398,-0.005460488379568921,-0.0021857105385944707,-0.00096887881396746,-0.0017771388077343032,0.007041119148682134,0.0006957920882173522,0.00024488212720242213,9.460578729624619e-05,0.0002506077968991819,-0.0008451706763414202,0.5959835617489955,0.1872124254990057,0.0,0.0,0.0
38.0,-0.21088190316527297,-0.24721737048793269,-0.19088616590391494,0.8987497584371522,0.04535149003003893,0.05573473925494812,0.13416304482360852,0.009833022338905588,0.15564404877750637,-0.039896069090585094,-0.03177833651261372,-0.016199235105423454,-0.010538294534371358,0.019272450363266448,0.047897261202678995,0.0047512479784621664,0.003980659198945844,0.000957923891221049,0.004307046880434866,-0.005911703591479154,-0.0062751283957769004,-0.0025798143761199105,-0.001184674120364245,-0.0020632932301548456,0.008161472768650094,0.0008318929524100134,0.0003040992276983508,0.00011997489322801427,0.0003112679404056454,-0.0010160740138694467,0.5671759517056308,0.18226179152201705,0.0,0.0,0.0
41.0,-0.21865338960535832,-0.25881910986279894,-0.2055992159744001,0.8603118998594752,0.04566348422572818,0.06152226612331772,0.14358003688433535,0.010836378569089965,0.1662325184458056,-0.041880635315804736,-0.03413396297355399,-0.01762049504420822,-0.012113947622270436,0.023284424613325787,0.05207226346004787,0.005290704371724034,0.004668836746829813,0.0011234027520612444,0.005074615293457343,-0.006611814381449817,-0.007138875249875381,-0.0029971269012892742,-0.001419272349121698,-0.0023533742507492335,0.009308854607153774,0.0009742124188177165,0.000368964219890492,0.00014841875239247405,0.0003784054276485015,-0.0011971934362659089,0.5398446533628415,0.17606131065884445,0.0,0.0,0.0
44.0,-0.22610154561378817,-0.26944926043583695,-0.21999191293421197,0.8241328274488877,0.0458733621243287,0.06740623560761573,0.1524674839957359,0.011825586062953001,0.17616369151377154,-0.0436622915875501,-0.03637788111565357,-0.018989194174680507,-0.013753191121549073,0.02765881536672936,0.05613644510239625,0.005904471374358154,0.005449336761903944,0.0012976179790874895,0.00590154327433144,-0.007310698087648387,-0.007920353699307396,-0.00341688499512152,-0.0016715968354227627,-0.0026446423026832114,0.010476402984772247,0.0011249397686177685,0.0004393374006144901,0.0001798482686939799,0.00045186062835939663,-0.0013871965102942789,0.5138426396385549,0.1688304034881442,0.0,0.0,0.0
47.0,-0.23327981402583023,-0.27917045770522475,-0.23408354872797907,0.7899352159802651,0.045986099388621714,0.07337264981549377,0.16082713292151052,0.01279817491586503,0.18544223007874058,-0.045257075300972865,-0.03851573484212874,-0.020304233838601193,-0.015450490320218889,0.03238619114846831,0.060090129282466306,0.006487656174713587,0.0062615501068084955,0.0014797636754650398,0.006787496820036644,-0.00800590693134574,-0.008747000302438952,-0.003855729639568107,-0.0019406114803130919,-0.002934723878786898,0.011658413897453434,0.0012797163096812084,0.0005159954092625516,0.00021416145916148754,0.0005314706893043187,-0.001584884184124195,0.48904655215404497,0.16074853253988985,0.0,0.0,0.0
50.0,-0.24023114451561053,-0.2880383019375072,-0.24788813727905576,0.7574868153787988,0.04600579963591808,0.07940733329310659,0.1686661982539654,0.013750348295057606,0.19408685160184375,-0.04667694752912586,-0.04055333815814164,-0.021565071072794203,-0.017200972754804002,0.03745911870121229,0.06393471906879414,0.0070441635130660055,0.0071045292042914805,0.0016691190759986095,0.007732268945472574,-0.008695529712258787,-0.009609542272662999,-0.004311322866329622,-0.0022253285551769968,-0.003221563340874731,0.012850123941882544,0.0014377558388521917,0.0005995793474409447,0.00025124903516667376,0.0006170744120780876,-0.0017891840806726364,0.4653515830932498,0.15196326996938506,0.0,0.0,0.0
53.0,-0.24699030628663038,-0.2961026713660591,-0.261423643885282,0.7266006450033811,0.045934615899155144,0.08549608353879826,0.17599565388879448,0.014680158086209484,0.2021131152414336,-0.04793659649598424,-0.042496456877154476,-0.022771595148521607,-0.019000139173477718,0.042865326095916215,0.06767184035938517,0.00767716828503378,0.008064361710210214,0.0018650409653328747,0.008735761636415765,-0.009378076576757337,-0.010382517137022079,-0.00475916850595535,-0.002524807008639561,-0.0035033804293503733,0.014047576153280039,0.0016017740443052507,0.000685674226882546,0.0002909986427702358,0.0007085152906780487,-0.0019991365610280134,0.4426677917866017,0.1425966088716475,0.0,0.0,0.0
56.0,-0.25358564638488956,-0.303408770540765,-0.2747055791153722,0.697118503500798,0.04577424517614383,0.09162480023445775,0.18282982179979895,0.015585258485524695,0.2095423797722181,-0.04904866991598295,-0.04435070426520804,-0.023923934638689515,-0.02084430111420628,0.048597173885307425,0.07130398141123186,0.00827877995971478,0.009034360915995911,0.0020669560309899697,0.009797969565559322,-0.010052386956227413,-0.011188777768391934,-0.005221627798457309,-0.002838152837034468,-0.0037786338665707787,0.015247506809797437,0.001768985684120547,0.0007789935250114455,0.00033329739239558383,0.0008056434272415948,-0.0022138834178844946,0.4209173067621148,0.13274991701946004,0.0,0.0,0.0
59.0,-0.26004043373958224,-0.3099979692114692,-0.287748428240493,0.6689065404956654,0.045525902281345634,0.09777959882030152,0.18918502565316303,0.01646339961492456,0.21639819210570696,-0.05002492161047697,-0.0461214771436111,-0.025022339875793543,-0.022730175299597862,0.054645479640123604,0.07483368266928522,0.008875257753006712,0.010055740136030578,0.0022743528371717884,0.010918965922510878,-0.01071756111154408,-0.011997691896301002,-0.005692331663732798,-0.0031645227541816693,-0.004045989169334322,0.01644722137019262,0.0019376899572877187,0.0008783853388580229,0.00037808356314851803,0.0009083614596668768,-0.0024329832373688968,0.40003217031836646,0.12250783658027584,0.0,0.0,0.0
62.0,-0.26637387450637,-0.3159084690409032,-0.30056563700335676,0.6418504770390495,0.04519047112982031,0.10394691086683377,0.19507905516850582,0.017312399577837378,0.22270546036417624,-0.05087621729301491,-0.047813903594995155,-0.02606709777749696,-0.024654976420740493,0.061001183488169734,0.07826375398673298,0.007269508989268844,0.010092804599125323,0.002486774035187188,0.012098890160412306,-0.011372909703217814,-0.014707905992159617,-0.0063086982303734475,-0.003503125803820058,-0.004304289592167166,0.01764447902678779,0.002018202748791547,0.0009711131028115289,0.0004251602528888865,0.0010164553582331659,-0.002655188201667878,0.37995265496775815,0.1119413667761819,0.0,0.0,0.0
