Ecms,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
98.0,-0.336760495107936,-0.3452005156615863,-0.4404360764925932,0.3812307623979767,0.03454206302828607,0.1746886128562492,0.23667878008494367,0.024510557033845866,0.2646227496084047,-0.0542603199788314,-0.0635057662586562,-0.03442042030960607,-0.050140742306064176,0.15763981743312733,0.1123861232983425,0.017404738510437747,0.028586269759042715,0.0053111148571164885,0.030958052740177815,-0.01837496023068815,-0.02123363569662355,-0.011702316040075137,-0.008290082152495859,-0.006433555387000829,0.031383031982989994,0.004270380542637692,0.002567653132587919,0.0011375091452151037,0.002698866469664341,-0.0054201516695498945,0.1870894024988879,-0.025184989855322675,0.0,0.0,0.0
99.0,-0.3386207923701608,-0.3451621302098858,-0.44402260197508,0.37525069825298285,0.03407539530254566,0.1764810659408491,0.23722730554122096,0.024615314752508072,0.2651004152085382,-0.05422763902829325,-0.06384919383309877,-0.03453864902394929,-0.05090175752035568,0.16076270938829954,0.11316137287554161,0.017627542851961372,0.029153913898919602,0.005394711402428457,0.03160890717068466,-0.018546400841369937,-0.021450495471309127,-0.011849844209066927,-0.008437476607363083,-0.0064629454752584865,0.03174274125215434,0.004331180276940847,0.0026205766780522154,0.001160465964963169,0.0027550790921872835,-0.005496821814205651,0.18273819200402397,-0.02904602141113072,0.0,0.0,0.0
100.0,-0.34047742506294215,-0.3450890329184246,-0.4475955615023376,0.36932370505025447,0.03359969226185149,0.178260778378436,0.23775029649629123,0.024714211619244305,0.265549917281235,-0.05419007901482942,-0.0641888304365642,-0.03465037016226515,-0.05166531999211613,0.16390379807097513,0.11392767041222983,0.01784252382783354,0.029705706617200383,0.005478502666994128,0.03226679352237832,-0.018716625993487314,-0.02167238378803638,-0.011997980789444775,-0.008585457838335609,-0.006490589637672769,0.032101158282590976,0.0043915981949951355,0.0026739122245399674,0.0011835639351653045,0.002811780510723234,-0.005573392240973079,0.17843153802287345,-0.03290320255248657,0.0,0.0,0.0
101.0,-0.34233045174784194,-0.3449820498883049,-0.4511551059080152,0.363448948246799,0.03311497190151724,0.1800275574188802,0.23824824332213615,0.024807201214043312,0.2659718434939894,-0.05414775237523882,-0.06452475201129075,-0.03475554441513561,-0.05243141204626113,0.16706261350853374,0.11468502825522661,0.01803904478692675,0.0302147482741833,0.005562483307479899,0.03293172409850104,-0.018885640056768387,-0.02190767599134709,-0.012148318657394455,-0.008734013465486783,-0.006516480707161112,0.03245828218329223,0.004451091653599546,0.002727581403831278,0.0012068011141281381,0.002868969590370327,-0.005649858212921915,0.17416885291499712,-0.03675622500449909,0.0,0.0,0.0
102.0,-0.3441799273870054,-0.34484200111097707,-0.45470138179739417,0.35762561786830516,0.032621252381351724,0.1817812177196294,0.2387216277989284,0.02489423824496742,0.26636677003271714,-0.054100768207767026,-0.06485703294169745,-0.03485413156752319,-0.05320001630224486,0.17023868246493254,0.11543345750065481,0.01818156660224508,0.0305915679819963,0.005646648056418871,0.03360371100632871,-0.019053447474712618,-0.022186445670557813,-0.012306551212022189,-0.008883131341788775,-0.006540611748075878,0.03281411256714264,0.0045077887453699745,0.002781264787451794,0.0012301755999075154,0.0029266452621230475,-0.005726215174928755,0.16994956293794944,-0.040604794653907164,0.0,0.0,0.0
103.0,-0.3460259035305276,-0.34466970048677487,-0.45823453167198774,0.35185292756564573,0.03211855203003343,0.18352158125871887,0.23917092319234892,0.024975278553089328,0.2667352617573391,-0.054049232380768884,-0.0651857461070591,-0.0349460905328453,-0.053971115625476025,0.17343152852873772,0.1161729680825778,0.018074580209662575,0.030344821886763507,0.0057309917180080015,0.03428276614623319,-0.019220052753771356,-0.02269889383417175,-0.012508774312210764,-0.00903279954678982,-0.006562976044127425,0.03316864953913037,0.004550773935413186,0.002832695367754689,0.0012536855296304522,0.002984806521936,-0.005802458745463551,0.16577310777198787,-0.044448630887029834,0.0,0.0,0.0
104.0,-0.34786842849671806,-0.34446595583383927,-0.4617546940494209,0.34613011371597796,0.031606889350111335,0.18524847724501212,0.23959659433630684,0.02505027911662406,0.26707787236152475,-0.0539932476379864,-0.06551096293289596,-0.035031379386974745,-0.05474469308207789,0.17664067220657173,0.11690356886026876,0.0121423027244326,0.017064939251517565,0.005815509164044261,0.03496890120100422,-0.019385460453361838,-0.04811725860727542,-0.01621381629626903,-0.009183006381282518,-0.006583567087053144,0.03352189368275429,0.0041093945762704165,0.002723870035791261,0.0012773290787487608,0.0030434524298245404,-0.005878584709219638,0.16163894006504265,-0.048287465961785826,0.0,0.0,0.0
105.0,-0.34970754754490196,-0.3442315688860118,-0.46526200357969816,0.340456434567582,0.03108628302289514,0.18696174202605442,0.23999909772051545,0.02511919805422787,0.2673951445359649,-0.05393291370071756,-0.06583275344002622,-0.035109955402017265,-0.05552073189703591,0.17986563102205477,0.1176252677028096,0.017351102228556507,0.030022062967680518,0.00590019532997065,0.035662127625425546,-0.01954967517682807,-0.02377805887030958,-0.012838643910670234,-0.009333740362935217,-0.0066023785659136604,0.033873846043875964,0.004612570779102136,0.002927255139470014,0.001301104460228894,0.0031025821090020418,-0.005954589010604967,0.1575465249967685,-0.05212104441198681,0.0,0.0,0.0
106.0,-0.35154330304034864,-0.3439673352855735,-0.4687565911561597,0.33483116942203917,0.030556751911235816,0.18866121899379196,0.24037888158240653,0.025181994627419848,0.26768761013464426,-0.053868327367061555,-0.06615118629041013,-0.035181775079736285,-0.05629921541572166,0.18310591962053702,0.1183380715700535,0.019179251862843534,0.033395946843237975,0.005985045211010471,0.03636245663610141,-0.019712701563415605,-0.023005931739104635,-0.012862963832252002,-0.00948499022278848,-0.006619404356897937,0.03422450811165763,0.0047536332746044635,0.002999199079698195,0.0013250099236884996,0.003162194745052217,-0.006030467748058568,0.1534953398616007,-0.055949122482176275,0.0,0.0,0.0
107.0,-0.35337573461078314,-0.3436740445618276,-0.47223858402533203,0.32925361785856194,0.030018315061129626,0.19034675848848612,0.2407363860029041,0.025238629242132653,0.26795579034346517,-0.05379958260844633,-0.06646632882919433,-0.0352467941845221,-0.05708012706848671,0.18636104987960617,0.11904198658938155,0.01956713479214303,0.0343216851667775,0.006070053858377544,0.03706989920152109,-0.01987454428127198,-0.023092486935549064,-0.012989218164790277,-0.009636744902456171,-0.006634638513520233,0.03457388179660327,0.004823323536168512,0.0030581687443794374,0.001349043754494421,0.003222289585133692,-0.006106217169108847,0.1494848736686475,-0.05977146759147895,0.0,0.0,0.0
108.0,-0.3552048792940912,-0.3433524801051156,-0.4757081058923696,0.32372309899172724,0.029470991699952424,0.19201821770095281,0.24107204300562748,0.025289063449366565,0.268200195850857,-0.05372677066351281,-0.06677824712262408,-0.03530496777583496,-0.05786345033813109,0.18963053102569866,0.11973701812807497,0.019847003846033832,0.03504359424334689,0.006155216375557676,0.037784466032350035,-0.02003520802143431,-0.023257156084670785,-0.01312519265829856,-0.00978899355183867,-0.00664807525711305,0.03492196940606679,0.00488726797852384,0.003116043361180273,0.0013732042728400663,0.00328286593721335,-0.006181833666053388,0.14551462675890414,-0.06358785782487322,0.0,0.0,0.0
109.0,-0.35703077167691455,-0.3430034191310509,-0.47916527702469586,0.31823895076447556,0.02891480123201884,0.1936754605733078,0.24138627665903206,0.02533325994497099,0.26842132701975635,-0.053649980129427004,-0.06708700599180943,-0.03535625024008441,-0.05864916872982077,0.19291386975681118,0.12042317086149609,0.020103841507695393,0.03572557890999661,0.006240527914664375,0.038506167571932,-0.020194697492716747,-0.023439981628807928,-0.013262979172413989,-0.009941725527129573,-0.006659708967533349,0.0352687736178643,0.0049499137990322946,0.003173942658510037,0.0013974898328210294,0.0033439231693244667,-0.006257313772115304,0.14158411043818617,-0.0673980814504372,0.0,0.0,0.0
110.0,-0.35885344402403807,-0.34262763263722273,-0.4826102143534093,0.3128005292734206,0.02834976323119038,0.19531835769829736,0.2416795031811663,0.02537118256857465,0.26861967406063375,-0.053569297050633555,-0.06739266904259057,-0.0354005953219342,-0.05943726574307906,0.1962105703713886,0.12110044883759434,0.02035353009281067,0.03639828989364819,0.006325983672877914,0.03923501398698583,-0.020353017417373734,-0.0236285963970178,-0.013400948512217323,-0.010094930388901689,-0.006669534174026205,0.03561429745282296,0.005012132328890825,0.0032321275896808038,0.001421898821527547,0.0034054607088454844,-0.006332654157920316,0.13769284662529777,-0.07120193646114847,0.0,0.0,0.0
111.0,-0.3606729263986815,-0.34222588535253373,-0.4860430315727496,0.3074072081246317,0.027775897430778327,0.19694678621728637,0.2419521310465964,0.02540279630170461,0.26879571720508594,-0.05348480500502296,-0.0676952986919858,-0.035437956155057605,-0.060227724845460864,0.19952013490331813,0.12176885553847369,0.020600430388418113,0.037069744834127304,0.006411578888981073,0.039971015158479596,-0.02051017252739051,-0.023819284097963897,-0.013538624546902713,-0.010248597900074458,-0.006677545546213335,0.03595854424720261,0.005074175368834791,0.0032906872538962613,0.0014464296581704428,0.003467478041795527,-0.006407851628140708,0.1338403675145065,-0.07499923013986061,0.0,0.0,0.0
112.0,-0.3624892467740327,-0.34179893567974834,-0.4894638392377405,0.3020583778181229,0.027193223711220675,0.1985606297169432,0.24220456109517893,0.02542806726514493,0.2689499268796592,-0.053396585187468544,-0.06799495619187597,-0.0354682852923812,-0.06102052944755779,0.20284206326290094,0.12242839393991882,0.02084587554213187,0.03774195899479011,0.006497308840007309,0.040714180672665815,-0.02066616756123664,-0.024010737337361407,-0.013675850566355063,-0.010402718023599431,-0.006683737885198863,0.03630151762593848,0.005136127051703141,0.0033496597491843093,0.0014710807932541003,0.0035299747121432553,-0.006482903118165993,0.13002621525167093,-0.07878977864612936,0.0,0.0,0.0
113.0,-0.36430243113654703,-0.3413475356318282,-0.49287274486002647,0.2967534451594564,0.026601762086153585,0.2001597781246417,0.24243718664234543,0.025446962715592502,0.2690827638795672,-0.05330471649067936,-0.06829170165068317,-0.035491534735878356,-0.06181566287904499,0.2061758533835721,0.12307906656981253,0.021090083127522273,0.03841461673697592,0.006583168838017335,0.041464519812263706,-0.020821007260921214,-0.02420255447171664,-0.013812591320056956,-0.01055728091974348,-0.006688106114806307,0.03664322147758464,0.005198008992057334,0.0034090639915419743,0.0014958507078061875,0.0035929503211263353,-0.006557805690684061,0.12624994162322462,-0.08257340662362492,0.0,0.0,0.0
114.0,-0.3661125035817177,-0.34087243076272217,-0.4962698530018477,0.29149183269676143,0.02600153268755921,0.20174412760261892,0.2426503935905892,0.025459451041671268,0.2691946795419945,-0.05320927558331214,-0.06858559405384579,-0.035507655965977304,-0.06261310836556211,0.2095210013740623,0.12372087556634263,0.021332634652304134,0.03908585798513261,0.0066691542270191735,0.04222204154777394,-0.020974696369198603,-0.02439482069460949,-0.01394888165267541,-0.010712276942900657,-0.0066906452729781265,0.03698365993169564,0.005259808171135289,0.0034689101278095667,0.0015207379126694763,0.003656404526579725,-0.006632556532086789,0.12251110775733301,-0.08634994682687812,0.0,0.0,0.0
115.0,-0.36791948640315697,-0.34037436009329464,-0.49965526536805643,0.2862729781817448,0.025392555750744852,0.2033135804409196,0.24284456054187079,0.02546550175937035,0.269286115918718,-0.05311033698530598,-0.0688766912838512,-0.03551659997065232,-0.06341284900630814,0.21287700167563686,0.12435382273677029,0.021572467224850542,0.039751975276775826,0.006755260380043508,0.042986754528918,-0.021127239626796482,-0.024588060474336558,-0.014084827573113703,-0.010867696637914537,-0.006691350503383103,0.0373228373391935,0.005321478390429009,0.0035292029081212383,0.0015457409478566216,0.0037203370422717215,-0.006707152948648388,0.11880928383655824,-0.09011923976626708,0.0,0.0,0.0
116.0,-0.3697234001758668,-0.3398540560331667,-0.5030290808959959,0.2810963340532143,0.02477485159986802,0.20486804494919383,0.24302005891070358,0.025465085506964073,0.269357505947829,-0.05300797314042088,-0.0691650501405085,-0.035518317274260296,-0.0642148677523235,0.21624334722399852,0.12497790961735772,0.021807492188150413,0.04040607357009183,0.006841482696382655,0.0437586670761926,-0.021278641769567674,-0.024783454544549496,-0.01422064971177689,-0.011023530735943522,-0.0066902170472832026,0.03766075825604034,0.005382922128884094,0.003589941178311929,0.001570858381964753,0.0037847476372478072,-0.0067815923624601785,0.11514404882141478,-0.09388113337005481,0.0,0.0,0.0
