Ecms1,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
23.0,-0.1640431927885788,-0.17169305478237368,-0.11199565094175741,1.1411174455028277,0.041813466865181455,0.028702208618840003,0.07970857703368887,0.004759988464554124,0.09335735908155535,-0.026414142950950386,-0.018210077686160137,-0.00844591068352439,-0.0038822768474681595,0.0049286914858455875,0.025551803900567587,0.0020560223510252976,0.0012879893206888086,0.0002964166591550149,0.0013826463372222707,-0.0025380134157459984,-0.002440768850653573,-0.0008553618489794861,-0.00031502429076917004,-0.0007419479696444314,0.003023038750993504,0.00024893677254457205,7.407387256518555e-05,2.479754198682557e-05,7.529296202076453e-05,-0.00029437151659221657,0.7301994103193598,0.18806548335568785,0.0,0.0,0.0
26.0,-0.17490989550418248,-0.18948699182083442,-0.12851162506661531,1.0836532830291141,0.04286129396200128,0.03381389417360996,0.09146175660465353,0.005761129266234335,0.10693142764165191,-0.029628021320999804,-0.021160617935111526,-0.010057348203294177,-0.005019916714552081,0.00701212209268139,0.03017469514763342,0.002559865655180797,0.0017118578303458151,0.0004028207589719508,0.0018426091671845913,-0.0031759426310058662,-0.0031447549044451733,-0.001143902401557481,-0.0004450914737811438,-0.0009761129833760072,0.003934057774444655,0.0003431275567882189,0.00010687645487552277,3.750180372893165e-05,0.00010885847126206982,-0.0004088727622868092,0.6932453781949074,0.19153369960266184,0.0,0.0,0.0
29.0,-0.18486004946824036,-0.20581203197553063,-0.14465787827621396,1.03158376316923,0.043705613786217776,0.03908466692451307,0.10283666359137937,0.006777035469249898,0.12000698799851889,-0.03257251462675636,-0.02399761942730925,-0.011649466223116833,-0.006264840891513947,0.009493695884291338,0.03474064958355447,0.0030893881302989715,0.0021952968133634727,0.0005233839097202979,0.002366175161870683,-0.0038397586327992735,-0.00388656554713083,-0.001464292153755067,-0.0005980426389717799,-0.0012296887535802894,0.0049164444858606155,0.00045006084063936764,0.00014628883021360094,5.3346615856593296e-05,0.00014929634735903993,-0.0005399684149962492,0.6587747528949162,0.1922216130339863,0.0,0.0,0.0
32.0,-0.1940825351313304,-0.22080294956155014,-0.16042995358887704,0.9838805894543105,0.04438619774385368,0.044503085083348604,0.11377064326765775,0.0077986314781037765,0.13251227627768528,-0.035256495287795134,-0.026713542247657856,-0.013209129967961305,-0.007605899059701495,0.012368996859946324,0.03922524866502106,0.0036302764570774544,0.002733640153652026,0.0006568608989352971,0.0029521021383509655,-0.004521090998972566,-0.004665019343951439,-0.0018134365055164463,-0.0007729776144328936,-0.0014980665644472625,0.00595610274252426,0.0005680525216999723,0.0001922376374367065,7.238393552917271e-05,0.00019657804734276145,-0.0006859647473946346,0.6264441435416102,0.19064334381436635,0.0,0.0,0.0
35.0,-0.20271999782769015,-0.23457283934086368,-0.1758348486017727,0.9397910482896037,0.04492883363612336,0.05005727005955852,0.12422152904993529,0.00881909464324608,0.14440092071764563,-0.037692554132870176,-0.029306842503868648,-0.014727628141498845,-0.009033295719869593,0.01563143973350246,0.043613748002860796,0.004187350823953304,0.003330405380377669,0.0008020675908640269,0.003599352688222971,-0.005213400807637886,-0.005461347042836305,-0.0021862362506418704,-0.0009688785171090602,-0.0017771399250320185,0.0070411169172569996,0.0006958579904127986,0.000244618723664223,9.460964616760488e-05,0.00025061380700055547,-0.0008452051103810665,0.595983502460824,0.18721229063632175,0.0,0.0,0.0
38.0,-0.21088189810138935,-0.24721759076333613,-0.19088571114394867,0.8987471292187063,0.045350458675693546,0.055734697399533475,0.1341627697589821,0.009833149158938457,0.15564584042425336,-0.03989516974659684,-0.03177944180448304,-0.01619929330014648,-0.010538473674999722,0.019273209718274127,0.0478976298811606,0.004751070947595432,0.003979994982800448,0.0009579070254741621,0.004307092597507899,-0.00591159009664915,-0.006275157113730136,-0.0025804280039854353,-0.0011846737074920999,-0.002063294847398386,0.008161469806572947,0.0008320113580624395,0.0003032654487613532,0.00011998067432912336,0.0003112763952417437,-0.0010161229073112185,0.5671760600694851,0.182261672995633,0.0,0.0,0.0
41.0,-0.21865338396930425,-0.2588194285125441,-0.20559875536914093,0.8603093049583805,0.04566236279169877,0.06152222011895493,0.143579805807139,0.010836576349731588,0.16623465804899606,-0.04187958050053625,-0.03413527020022852,-0.01762055460535091,-0.012113952792707501,0.023285823665781313,0.05207249337714584,0.005290430582380691,0.004666217479394647,0.0011233810248053773,0.00507467502199554,-0.006611673961632572,-0.0071387904836262344,-0.002997073104154928,-0.0014192717913039219,-0.0023533765156447234,0.009308850768014146,0.000974422382684294,0.00036793361360574177,0.0001484271365112482,0.000378416980103751,-0.0011972609563798016,0.5398447396232903,0.17606120650306356,0.0,0.0,0.0
44.0,-0.22610153931240692,-0.2694496991472265,-0.21999143215951839,0.8241302462413361,0.04587219264525018,0.06740618557849104,0.15246730362828978,0.011825876569427782,0.17616617657121825,-0.04366107831559083,-0.03637940707926997,-0.018989282168974084,-0.013753191186080538,0.02766044678789665,0.056136703186828674,0.005904179548075963,0.005447191066681992,0.0012975906552703186,0.0059016199581917225,-0.007310527774981343,-0.007920476480302956,-0.0034179489711992027,-0.0016715961004167596,-0.0026446453859741976,0.010476398109929971,0.001125129275915826,0.0004387098715421005,0.00017986009601232055,0.00045187602586496965,-0.0013872875653880103,0.5138426979982849,0.16883031120443953,0.0,0.0,0.0
47.0,-0.23327980694386036,-0.2791710364727823,-0.23408136856633516,0.7899305518759355,0.045985163932349894,0.07337259592312714,0.16082700890786172,0.012798033573131676,0.18544763740439107,-0.045254580297542236,-0.03851749605444681,-0.02030432073476914,-0.015450482671251955,0.0323880702361856,0.06009041571716443,0.0064872882184474935,0.006259148472065377,0.0014797300256097314,0.006787593770555674,-0.008005703881078833,-0.008747071074594031,-0.003856922883482771,-0.0019406105328493638,-0.0029347279740221414,0.011658407816923668,0.0012800246680778125,0.0005151439073105091,0.00021417775020094292,0.0005314907762017628,-0.001585004484885068,0.4890465754696467,0.16074844916296627,0.0,0.0,0.0
50.0,-0.24023113651295616,-0.2880390346107577,-0.2478857715191881,0.7574820012148137,0.04600482962611509,0.0794072757339226,0.1686660594247288,0.013750351427542783,0.1940925673005891,-0.04667437445984889,-0.04055535080385216,-0.021565155250500095,-0.017200861259692488,0.03745961067102015,0.06393489012721769,0.007044073689535241,0.007100370954029966,0.0016690783910635674,0.007732389854823113,-0.008695291230579705,-0.009609428567790406,-0.004311235048592129,-0.0022253273573634535,-0.0032215686635461934,0.012850116475367207,0.0014382686790097056,0.0005970473128671451,0.0002512710126015932,0.0006171001312774635,-0.0017893402008895903,0.46535156279879003,0.15196319210742593,0.0,0.0,0.0
